Price,Close,High,Low,Open,Volume,MA120,MA360,RSI,MA_Signal,Position,MA120_prev,MA360_prev,Filtered_Signal,Equity
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2021-01-22,33005.76171875,33811.8515625,28953.373046875,30817.625,77207272511,19971.85634765625,12831.728111436632,34.00576516764289,0,0,19786.475553385415,12766.041522894966,0,100000.0
2021-01-23,32067.642578125,33360.9765625,31493.16015625,32985.7578125,48354737975,20149.980729166666,12894.92536892361,33.46304269488695,0,0,19971.85634765625,12831.728111436632,0,100000.0
2021-01-24,32289.37890625,32944.0078125,31106.685546875,32064.376953125,48643830599,20329.46952311198,12958.204218207466,36.85473505888661,0,0,20149.980729166666,12894.92536892361,0,100000.0
2021-01-25,32366.392578125,34802.7421875,32087.787109375,32285.798828125,59897054838,20509.395548502605,13022.137171766493,42.14243370173191,0,0,20329.46952311198,12958.204218207466,0,100000.0
2021-01-26,32569.849609375,32794.55078125,31030.265625,32358.61328125,60255421470,20691.56385904948,13086.517656792535,46.42487617757605,0,0,20509.395548502605,13022.137171766493,0,100000.0
2021-01-27,30432.546875,32564.029296875,29367.138671875,32564.029296875,62576762015,20854.79641113281,13145.095939127605,30.518852844298607,0,0,20691.56385904948,13086.517656792535,0,100000.0
2021-01-28,33466.09765625,33858.3125,30023.20703125,30441.041015625,76517157706,21043.809798177084,13212.241984049479,34.808578767908315,0,0,20854.79641113281,13145.095939127605,0,100000.0
2021-01-29,34316.38671875,38406.26171875,32064.814453125,34318.671875,117894572511,21241.284252929687,13282.06260579427,42.756479988884905,0,0,21043.809798177084,13212.241984049479,0,100000.0
2021-01-30,34269.5234375,34834.70703125,32940.1875,34295.93359375,65141828798,21438.73049316406,13350.551771375867,44.291876620066084,0,0,21241.284252929687,13282.06260579427,0,100000.0
2021-01-31,33114.359375,34288.33203125,32270.17578125,34270.87890625,52754542671,21626.772412109374,13415.508875868056,42.34585912577015,0,0,21438.73049316406,13350.551771375867,0,100000.0
2021-02-01,33537.17578125,34638.21484375,32384.228515625,33114.578125,61400400660,21817.335685221355,13481.456743706598,40.94094155939253,0,0,21626.772412109374,13415.508875868056,0,100000.0
2021-02-02,35510.2890625,35896.8828125,33489.21875,33533.19921875,63088585433,22023.31026204427,13552.693326822917,48.4864533581301,0,0,21817.335685221355,13481.456743706598,0,100000.0
2021-02-03,37472.08984375,37480.1875,35443.984375,35510.8203125,61166818159,22247.20762532552,13628.680593532987,54.8293605862314,0,0,22023.31026204427,13552.693326822917,0,100000.0
2021-02-04,36926.06640625,38592.17578125,36317.5,37475.10546875,68838074392,22466.01677246094,13703.873524305556,69.36955016133706,0,0,22247.20762532552,13628.680593532987,0,100000.0
2021-02-05,38144.30859375,38225.90625,36658.76171875,36931.546875,58598066402,22692.921964518227,13781.473725043403,67.37698958491299,0,0,22466.01677246094,13703.873524305556,0,100000.0
2021-02-06,39266.01171875,40846.546875,38138.38671875,38138.38671875,71326033653,22927.934912109376,13861.862494574652,74.04413291098693,0,0,22692.921964518227,13781.473725043403,0,100000.0
2021-02-07,38903.44140625,39621.8359375,37446.15234375,39250.19140625,65500641143,23157.993912760416,13941.554332139756,71.88650505398334,0,0,22927.934912109376,13861.862494574652,0,100000.0
2021-02-08,46196.46484375,46203.9296875,38076.32421875,38886.828125,101467222687,23448.096272786457,14041.233078342015,80.97312969414142,0,0,23157.993912760416,13941.554332139756,0,100000.0
2021-02-09,46481.10546875,48003.72265625,45166.9609375,46184.9921875,91809846886,23739.144124348957,14142.876635742188,81.04206630204202,0,0,23448.096272786457,14041.233078342015,0,100000.0
2021-02-10,44918.18359375,47145.56640625,43881.15234375,46469.76171875,87301089896,24018.246492513023,14240.05371907552,83.17414173857797,0,0,23739.144124348957,14142.876635742188,0,100000.0
2021-02-11,47909.33203125,48463.46875,44187.76171875,44898.7109375,81388911810,24322.245035807293,14346.21813422309,83.14139986899286,0,0,24018.246492513023,14240.05371907552,0,100000.0
2021-02-12,47504.8515625,48745.734375,46424.9765625,47877.03515625,76555041196,24622.32421875,14450.003843858507,80.89427628406379,0,0,24322.245035807293,14346.21813422309,0,100000.0
2021-02-13,47105.515625,48047.74609375,46392.28125,47491.203125,70250456155,24920.519156901042,14554.093090820312,79.58012958310019,0,0,24622.32421875,14450.003843858507,0,100000.0
2021-02-14,48717.2890625,49487.640625,47114.5078125,47114.5078125,71248675228,25231.84571940104,14662.728683810765,85.21534669177547,0,0,24920.519156901042,14554.093090820312,0,100000.0
2021-02-15,47945.05859375,48875.5703125,46347.4765625,48696.53515625,77069903166,25535.693212890626,14769.002620442709,82.01323781369504,0,0,25231.84571940104,14662.728683810765,0,100000.0
2021-02-16,49199.87109375,50341.1015625,47201.3046875,47944.45703125,77049582886,25847.841829427085,14878.8267578125,81.42016555837174,0,0,25535.693212890626,14769.002620442709,0,100000.0
2021-02-17,52149.0078125,52533.9140625,49072.37890625,49207.27734375,80820545404,26183.114103190102,14996.117013888888,82.22573835138789,0,0,25847.841829427085,14878.8267578125,0,100000.0
2021-02-18,51679.796875,52474.10546875,51015.765625,52140.97265625,52054723579,26506.914998372395,15112.865964084202,82.50403314710776,0,0,26183.114103190102,14996.117013888888,0,100000.0
2021-02-19,55888.1328125,56113.65234375,50937.27734375,51675.98046875,63495496918,26864.600341796875,15242.161596679687,84.54078303165277,0,0,26506.914998372395,15112.865964084202,0,100000.0
2021-02-20,56099.51953125,57505.2265625,54626.55859375,55887.3359375,68145460026,27224.33351236979,15373.492144097223,83.97275984713679,0,0,26864.600341796875,15242.161596679687,0,100000.0
2021-02-21,57539.9453125,58330.5703125,55672.609375,56068.56640625,51897585191,27594.599202473957,15508.923952907986,86.04340398103268,0,0,27224.33351236979,15373.492144097223,0,100000.0
2021-02-22,54207.3203125,57533.390625,48967.56640625,57532.73828125,92052420332,27937.733756510417,15635.40968967014,68.29591945430711,0,0,27594.599202473957,15508.923952907986,0,100000.0
2021-02-23,48824.42578125,54204.9296875,45290.58984375,54204.9296875,106102492824,28235.64357096354,15747.145570203993,54.340974270090534,0,0,27937.733756510417,15635.40968967014,0,100000.0
2021-02-24,49705.33203125,51290.13671875,47213.5,48835.0859375,63695521388,28536.06951497396,15861.431342230902,59.09803196066891,0,0,28235.64357096354,15747.145570203993,0,100000.0
2021-02-25,47093.8515625,51948.96875,47093.8515625,49709.08203125,54506565949,28817.924235026043,15967.609624565972,48.4274762561818,0,0,28536.06951497396,15861.431342230902,0,100000.0
2021-02-26,46339.76171875,48370.78515625,44454.84375,47180.46484375,350967941479,29092.106559244792,16071.920667860242,47.78320026673275,0,0,28817.924235026043,15967.609624565972,0,100000.0
2021-02-27,46188.453125,48253.26953125,45269.02734375,46344.7734375,45910946382,29364.122648111977,16175.901798502604,48.238492592406956,0,0,29092.106559244792,16071.920667860242,0,100000.0
2021-02-28,45137.76953125,46716.4296875,43241.6171875,46194.015625,53443887451,29625.4291015625,16276.065706380208,42.97293686895139,0,0,29364.122648111977,16175.901798502604,0,100000.0
2021-03-01,49631.2421875,49784.015625,45115.09375,45159.50390625,53891300112,29924.546875,16388.589862738714,52.888213673066865,0,0,29625.4291015625,16276.065706380208,0,100000.0
2021-03-02,48378.98828125,50127.51171875,47228.84375,49612.10546875,47530897720,30214.78436686198,16498.226068793403,48.59381101798645,0,0,29924.546875,16388.589862738714,0,100000.0
2021-03-03,50538.2421875,52535.13671875,48274.3203125,48415.81640625,53220811975,30519.68387858073,16616.08752983941,47.16397807309299,0,0,30214.78436686198,16498.226068793403,0,100000.0
2021-03-04,48561.16796875,51735.08984375,47656.9296875,50522.3046875,52343816680,30806.57938639323,16728.96953938802,44.7859811637562,0,0,30519.68387858073,16616.08752983941,0,100000.0
2021-03-05,48927.3046875,49396.4296875,46542.515625,48527.03125,48625928883,31084.474853515625,16842.907248263888,36.6466578202507,0,0,30806.57938639323,16728.96953938802,0,100000.0
